 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.001020 + 0.266097 + 0.027327 + 0.705556 +  = 1.000000, objective value => 2.042833 
 2 )  0.039275 + 0.312876 + 0.387533 + 0.260316 +  = 1.000000, objective value => 2.042833 
 3 )  0.228195 + 0.498500 + 0.165816 + 0.107490 +  = 1.000000, objective value => 1.347643 
 4 )  0.212807 + 0.339998 + 0.181989 + 0.265206 +  = 1.000000, objective value => 1.142545 
 5 )  0.306415 + 0.074073 + 0.311714 + 0.307797 +  = 1.000000, objective value => 1.074694 
 6 )  0.018073 + 0.272960 + 0.513347 + 0.195620 +  = 1.000000, objective value => 2.042833 
 7 )  0.243168 + 0.095778 + 0.308539 + 0.352514 +  = 1.000000, objective value => 1.055023 
 8 )  0.297492 + 0.168077 + 0.193028 + 0.341404 +  = 1.000000, objective value => 1.074607 
 9 )  0.238282 + 0.296049 + 0.156248 + 0.309421 +  = 1.000000, objective value => 1.174322 
 10 )  0.358351 + 0.053960 + 0.288512 + 0.299177 +  = 1.000000, objective value => 1.008201 
 11 )  0.162761 + 0.276310 + 0.216336 + 0.344593 +  = 1.000000, objective value => 1.272031 
 12 )  0.230335 + 0.042422 + 0.327277 + 0.399966 +  = 1.000000, objective value => 1.074694 
 13 )  0.360459 + 0.262859 + 0.215784 + 0.160898 +  = 1.000000, objective value => 1.083236 
 14 )  0.037654 + 0.157655 + 0.697257 + 0.107433 +  = 1.000000, objective value => 2.587737 
 15 )  0.284700 + 0.352159 + 0.172811 + 0.190330 +  = 1.000000, objective value => 1.174322 
 16 )  0.376093 + 0.064807 + 0.385059 + 0.174040 +  = 1.000000, objective value => 0.999328 
 17 )  0.059393 + 0.274779 + 0.412147 + 0.253681 +  = 1.000000, objective value => 2.587737 
 18 )  0.372522 + 0.126548 + 0.301495 + 0.199435 +  = 1.000000, objective value => 1.074607 
 19 )  0.297693 + 0.011936 + 0.367443 + 0.322927 +  = 1.000000, objective value => 0.999328 
 20 )  0.298565 + 0.360609 + 0.318915 + 0.021911 +  = 1.000000, objective value => 1.182428 
 21 )  0.047804 + 0.305599 + 0.147572 + 0.499025 +  = 1.000000, objective value => 2.042833 
 22 )  0.290782 + 0.214601 + 0.142015 + 0.352602 +  = 1.000000, objective value => 1.083236 
 23 )  0.380668 + 0.210596 + 0.170476 + 0.238260 +  = 1.000000, objective value => 1.029964 
 24 )  0.418053 + 0.182333 + 0.087079 + 0.312535 +  = 1.000000, objective value => 1.029964 
 25 )  0.115185 + 0.400130 + 0.179485 + 0.305199 +  = 1.000000, objective value => 1.603494 
 26 )  0.281321 + 0.016633 + 0.378728 + 0.323318 +  = 1.000000, objective value => 0.999328 
 27 )  0.187671 + 0.235188 + 0.273214 + 0.303928 +  = 1.000000, objective value => 1.182428 
 28 )  0.208310 + 0.208461 + 0.574076 + 0.009154 +  = 1.000000, objective value => 1.285072 
 29 )  0.048494 + 0.452092 + 0.475206 + 0.024207 +  = 1.000000, objective value => 2.042833 
 30 )  0.165589 + 0.456427 + 0.274820 + 0.103163 +  = 1.000000, objective value => 1.603494 
 31 )  0.356028 + 0.092216 + 0.229202 + 0.322554 +  = 1.000000, objective value => 1.042464 
 32 )  0.347725 + 0.314228 + 0.173778 + 0.164269 +  = 1.000000, objective value => 1.020365 
 33 )  0.119409 + 0.114010 + 0.240999 + 0.525582 +  = 1.000000, objective value => 1.285072 
 34 )  0.286833 + 0.226224 + 0.200989 + 0.285953 +  = 1.000000, objective value => 1.068103 
 35 )  0.218350 + 0.238624 + 0.291260 + 0.251767 +  = 1.000000, objective value => 1.182428 
 36 )  0.014555 + 0.465015 + 0.176485 + 0.343946 +  = 1.000000, objective value => 2.042833 
 37 )  0.248700 + 0.299640 + 0.260977 + 0.190683 +  = 1.000000, objective value => 1.182428 
 38 )  0.022321 + 0.442564 + 0.245030 + 0.290084 +  = 1.000000, objective value => 2.042833 
 39 )  0.243479 + 0.359970 + 0.176499 + 0.220052 +  = 1.000000, objective value => 1.110673 
 40 )  0.282284 + 0.241428 + 0.187485 + 0.288803 +  = 1.000000, objective value => 1.068329 
 41 )  0.432492 + 0.215303 + 0.110207 + 0.241998 +  = 1.000000, objective value => 1.029964 
 42 )  0.410352 + 0.144564 + 0.123060 + 0.322024 +  = 1.000000, objective value => 1.042464 
 43 )  0.652080 + 0.031188 + 0.218897 + 0.097835 +  = 1.000000, objective value => 1.008201 
 44 )  0.269124 + 0.180800 + 0.290896 + 0.259180 +  = 1.000000, objective value => 1.055023 
 45 )  0.083274 + 0.371316 + 0.408480 + 0.136929 +  = 1.000000, objective value => 2.587737 
 46 )  0.243312 + 0.362442 + 0.184737 + 0.209509 +  = 1.000000, objective value => 1.110673 
 47 )  0.251455 + 0.399480 + 0.201294 + 0.147772 +  = 1.000000, objective value => 1.142545 
 48 )  0.339537 + 0.291782 + 0.223626 + 0.145054 +  = 1.000000, objective value => 1.068329 
 49 )  0.322485 + 0.454617 + 0.044147 + 0.178750 +  = 1.000000, objective value => 1.227674 
 50 )  0.126983 + 0.502844 + 0.035393 + 0.334780 +  = 1.000000, objective value => 1.683714 
 51 )  0.341189 + 0.269420 + 0.094684 + 0.294707 +  = 1.000000, objective value => 1.068103 
 52 )  0.186559 + 0.122828 + 0.401237 + 0.289377 +  = 1.000000, objective value => 1.087958 
 53 )  0.195144 + 0.284434 + 0.084619 + 0.435803 +  = 1.000000, objective value => 1.110673 
 54 )  0.086936 + 0.228639 + 0.435096 + 0.249329 +  = 1.000000, objective value => 1.527210 
 55 )  0.238023 + 0.165302 + 0.078126 + 0.518549 +  = 1.000000, objective value => 1.029964 
 56 )  0.099240 + 0.610041 + 0.251889 + 0.038830 +  = 1.000000, objective value => 2.042833 
 57 )  0.060453 + 0.351365 + 0.294558 + 0.293623 +  = 1.000000, objective value => 2.042833 
 58 )  0.332406 + 0.185593 + 0.161085 + 0.320916 +  = 1.000000, objective value => 1.029964 
 59 )  0.293179 + 0.167632 + 0.288112 + 0.251077 +  = 1.000000, objective value => 1.074607 
 60 )  0.283655 + 0.294988 + 0.262316 + 0.159041 +  = 1.000000, objective value => 1.174322 
