 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.000054 + 0.216307 + 0.381378 + 0.402261 +  = 1.000000, objective value => 0.637037 
 2 )  0.184463 + 0.106731 + 0.264838 + 0.443969 +  = 1.000000, objective value => 0.596296 
 3 )  0.365577 + 0.159943 + 0.384966 + 0.089514 +  = 1.000000, objective value => 0.596296 
 4 )  0.208241 + 0.232497 + 0.359529 + 0.199733 +  = 1.000000, objective value => 0.596296 
 5 )  0.310553 + 0.033601 + 0.364093 + 0.291753 +  = 1.000000, objective value => 0.596296 
 6 )  0.078177 + 0.387947 + 0.397800 + 0.136077 +  = 1.000000, objective value => 0.975000 
 7 )  0.210827 + 0.122974 + 0.419970 + 0.246228 +  = 1.000000, objective value => 0.596296 
 8 )  0.178348 + 0.013272 + 0.115048 + 0.693332 +  = 1.000000, objective value => 0.683019 
 9 )  0.358444 + 0.272419 + 0.207089 + 0.162048 +  = 1.000000, objective value => 0.596296 
 10 )  0.132988 + 0.229848 + 0.370938 + 0.266227 +  = 1.000000, objective value => 0.596296 
 11 )  0.228782 + 0.401499 + 0.110213 + 0.259506 +  = 1.000000, objective value => 0.596296 
 12 )  0.214173 + 0.302170 + 0.131512 + 0.352145 +  = 1.000000, objective value => 0.637037 
 13 )  0.286997 + 0.143721 + 0.262464 + 0.306818 +  = 1.000000, objective value => 0.596296 
 14 )  0.158414 + 0.314136 + 0.248539 + 0.278911 +  = 1.000000, objective value => 0.596296 
 15 )  0.340692 + 0.384555 + 0.036260 + 0.238493 +  = 1.000000, objective value => 0.596296 
 16 )  0.104562 + 0.101636 + 0.366104 + 0.427698 +  = 1.000000, objective value => 0.701961 
 17 )  0.256720 + 0.278453 + 0.195986 + 0.268841 +  = 1.000000, objective value => 0.596296 
 18 )  0.231458 + 0.357376 + 0.003426 + 0.407739 +  = 1.000000, objective value => 0.637037 
 19 )  0.416450 + 0.074652 + 0.160716 + 0.348182 +  = 1.000000, objective value => 0.644445 
 20 )  0.183946 + 0.224811 + 0.276118 + 0.315126 +  = 1.000000, objective value => 0.596296 
 21 )  0.176611 + 0.161044 + 0.100744 + 0.561601 +  = 1.000000, objective value => 0.683019 
 22 )  0.428077 + 0.185310 + 0.227217 + 0.159396 +  = 1.000000, objective value => 0.596296 
 23 )  0.437088 + 0.389248 + 0.145882 + 0.027783 +  = 1.000000, objective value => 0.596296 
 24 )  0.253323 + 0.065912 + 0.452437 + 0.228328 +  = 1.000000, objective value => 0.596296 
 25 )  0.087350 + 0.300142 + 0.501198 + 0.111311 +  = 1.000000, objective value => 0.975000 
 26 )  0.137774 + 0.250838 + 0.322100 + 0.289287 +  = 1.000000, objective value => 0.637037 
 27 )  0.334008 + 0.445520 + 0.014958 + 0.205514 +  = 1.000000, objective value => 0.596296 
 28 )  0.145614 + 0.416260 + 0.234001 + 0.204125 +  = 1.000000, objective value => 0.975000 
 29 )  0.257216 + 0.427583 + 0.117098 + 0.198104 +  = 1.000000, objective value => 0.596296 
 30 )  0.507984 + 0.108379 + 0.125025 + 0.258611 +  = 1.000000, objective value => 0.644445 
 31 )  0.497565 + 0.407872 + 0.016403 + 0.078160 +  = 1.000000, objective value => 0.596296 
 32 )  0.234719 + 0.085758 + 0.330969 + 0.348554 +  = 1.000000, objective value => 0.596296 
 33 )  0.340636 + 0.073855 + 0.366300 + 0.219209 +  = 1.000000, objective value => 0.596296 
 34 )  0.164913 + 0.266516 + 0.281156 + 0.287416 +  = 1.000000, objective value => 0.637037 
 35 )  0.356172 + 0.169739 + 0.311340 + 0.162749 +  = 1.000000, objective value => 0.596296 
 36 )  0.360701 + 0.221799 + 0.224751 + 0.192749 +  = 1.000000, objective value => 0.596296 
 37 )  0.419060 + 0.044100 + 0.210371 + 0.326468 +  = 1.000000, objective value => 0.644445 
 38 )  0.196136 + 0.333054 + 0.240928 + 0.229883 +  = 1.000000, objective value => 0.596296 
 39 )  0.149339 + 0.572308 + 0.110436 + 0.167917 +  = 1.000000, objective value => 0.975000 
 40 )  0.260168 + 0.499194 + 0.210708 + 0.029930 +  = 1.000000, objective value => 0.975000 
 41 )  0.220634 + 0.352483 + 0.411893 + 0.014990 +  = 1.000000, objective value => 0.975000 
 42 )  0.287877 + 0.016978 + 0.268826 + 0.426319 +  = 1.000000, objective value => 0.644445 
 43 )  0.271918 + 0.059054 + 0.178591 + 0.490437 +  = 1.000000, objective value => 0.588889 
 44 )  0.316993 + 0.213906 + 0.244394 + 0.224707 +  = 1.000000, objective value => 0.596296 
 45 )  0.234117 + 0.154921 + 0.366916 + 0.244045 +  = 1.000000, objective value => 0.596296 
 46 )  0.347676 + 0.367165 + 0.062794 + 0.222365 +  = 1.000000, objective value => 0.596296 
 47 )  0.332324 + 0.098118 + 0.512149 + 0.057409 +  = 1.000000, objective value => 0.596296 
 48 )  0.266337 + 0.323372 + 0.378645 + 0.031646 +  = 1.000000, objective value => 0.611111 
 49 )  0.002894 + 0.129087 + 0.410482 + 0.457537 +  = 1.000000, objective value => 0.637037 
 50 )  0.346764 + 0.221008 + 0.265505 + 0.166723 +  = 1.000000, objective value => 0.596296 
 51 )  0.382306 + 0.009481 + 0.374420 + 0.233793 +  = 1.000000, objective value => 0.596296 
 52 )  0.266410 + 0.464110 + 0.194474 + 0.075006 +  = 1.000000, objective value => 0.975000 
 53 )  0.020111 + 0.082161 + 0.449306 + 0.448422 +  = 1.000000, objective value => 0.637037 
 54 )  0.258828 + 0.192302 + 0.447751 + 0.101119 +  = 1.000000, objective value => 0.596296 
 55 )  0.010583 + 0.096019 + 0.612891 + 0.280506 +  = 1.000000, objective value => 0.975000 
 56 )  0.359159 + 0.104316 + 0.264357 + 0.272168 +  = 1.000000, objective value => 0.596296 
 57 )  0.053243 + 0.352818 + 0.268468 + 0.325471 +  = 1.000000, objective value => 0.639216 
 58 )  0.365889 + 0.061134 + 0.242136 + 0.330842 +  = 1.000000, objective value => 0.644445 
 59 )  0.197207 + 0.175878 + 0.225922 + 0.400993 +  = 1.000000, objective value => 0.701961 
 60 )  0.168923 + 0.500541 + 0.171103 + 0.159433 +  = 1.000000, objective value => 0.975000 
 61 )  0.417090 + 0.203292 + 0.345588 + 0.034030 +  = 1.000000, objective value => 0.596296 
 62 )  0.284039 + 0.050214 + 0.432073 + 0.233674 +  = 1.000000, objective value => 0.596296 
 63 )  0.631061 + 0.338428 + 0.012316 + 0.018194 +  = 1.000000, objective value => 0.596296 
 64 )  0.533127 + 0.198672 + 0.139384 + 0.128817 +  = 1.000000, objective value => 0.596296 
 65 )  0.402926 + 0.393488 + 0.025701 + 0.177885 +  = 1.000000, objective value => 0.596296 
 66 )  0.041702 + 0.134203 + 0.441992 + 0.382103 +  = 1.000000, objective value => 0.666667 
 67 )  0.529072 + 0.244444 + 0.114504 + 0.111980 +  = 1.000000, objective value => 0.596296 
 68 )  0.300683 + 0.329477 + 0.193479 + 0.176361 +  = 1.000000, objective value => 0.596296 
 69 )  0.268002 + 0.206443 + 0.274908 + 0.250647 +  = 1.000000, objective value => 0.596296 
 70 )  0.289681 + 0.316059 + 0.084643 + 0.309617 +  = 1.000000, objective value => 0.637037 
 71 )  0.335187 + 0.040366 + 0.327541 + 0.296907 +  = 1.000000, objective value => 0.596296 
 72 )  0.222071 + 0.099436 + 0.183764 + 0.494728 +  = 1.000000, objective value => 0.701961 
 73 )  0.006160 + 0.468850 + 0.172920 + 0.352070 +  = 1.000000, objective value => 0.975000 
 74 )  0.487612 + 0.317001 + 0.186308 + 0.009079 +  = 1.000000, objective value => 0.596296 
 75 )  0.079258 + 0.141759 + 0.392018 + 0.386965 +  = 1.000000, objective value => 0.701961 
 76 )  0.381713 + 0.209970 + 0.275729 + 0.132588 +  = 1.000000, objective value => 0.596296 
 77 )  0.281580 + 0.489998 + 0.134740 + 0.093682 +  = 1.000000, objective value => 0.975000 
 78 )  0.484715 + 0.084660 + 0.303792 + 0.126833 +  = 1.000000, objective value => 0.596296 
 79 )  0.308848 + 0.504073 + 0.169953 + 0.017126 +  = 1.000000, objective value => 0.611111 
 80 )  0.171986 + 0.246471 + 0.340914 + 0.240630 +  = 1.000000, objective value => 0.596296 
 81 )  0.106036 + 0.454303 + 0.311710 + 0.127951 +  = 1.000000, objective value => 0.975000 
 82 )  0.217110 + 0.175424 + 0.065988 + 0.541477 +  = 1.000000, objective value => 0.683019 
 83 )  0.101593 + 0.173302 + 0.330577 + 0.394529 +  = 1.000000, objective value => 0.646154 
 84 )  0.306371 + 0.154362 + 0.249979 + 0.289289 +  = 1.000000, objective value => 0.596296 
 85 )  0.281960 + 0.278298 + 0.247998 + 0.191744 +  = 1.000000, objective value => 0.596296 
 86 )  0.376690 + 0.400056 + 0.073132 + 0.150123 +  = 1.000000, objective value => 0.596296 
 87 )  0.124821 + 0.268978 + 0.364809 + 0.241392 +  = 1.000000, objective value => 0.596296 
 88 )  0.134335 + 0.376548 + 0.106828 + 0.382289 +  = 1.000000, objective value => 0.637037 
 89 )  0.012696 + 0.039064 + 0.599177 + 0.349063 +  = 1.000000, objective value => 0.975000 
 90 )  0.392854 + 0.245568 + 0.233757 + 0.127822 +  = 1.000000, objective value => 0.596296 
 91 )  0.181182 + 0.092643 + 0.459851 + 0.266324 +  = 1.000000, objective value => 0.596296 
 92 )  0.229896 + 0.088934 + 0.331931 + 0.349238 +  = 1.000000, objective value => 0.596296 
 93 )  0.194330 + 0.182862 + 0.390977 + 0.231831 +  = 1.000000, objective value => 0.596296 
 94 )  0.159999 + 0.206614 + 0.568364 + 0.065023 +  = 1.000000, objective value => 0.975000 
 95 )  0.043821 + 0.205147 + 0.461495 + 0.289537 +  = 1.000000, objective value => 0.666667 
 96 )  0.285517 + 0.298450 + 0.248019 + 0.168013 +  = 1.000000, objective value => 0.596296 
 97 )  0.283535 + 0.016945 + 0.381177 + 0.318342 +  = 1.000000, objective value => 0.596296 
 98 )  0.321754 + 0.016838 + 0.423313 + 0.238094 +  = 1.000000, objective value => 0.596296 
 99 )  0.249435 + 0.043426 + 0.580603 + 0.126536 +  = 1.000000, objective value => 0.637037 
 100 )  0.308875 + 0.203404 + 0.414598 + 0.073123 +  = 1.000000, objective value => 0.596296 
 101 )  0.473854 + 0.148402 + 0.326254 + 0.051490 +  = 1.000000, objective value => 0.596296 
 102 )  0.186957 + 0.388259 + 0.077044 + 0.347739 +  = 1.000000, objective value => 0.596296 
 103 )  0.786924 + 0.092939 + 0.085432 + 0.034705 +  = 1.000000, objective value => 0.596296 
 104 )  0.121294 + 0.439111 + 0.119703 + 0.319892 +  = 1.000000, objective value => 0.975000 
 105 )  0.280637 + 0.239472 + 0.094415 + 0.385475 +  = 1.000000, objective value => 0.637037 
 106 )  0.246173 + 0.378504 + 0.278083 + 0.097240 +  = 1.000000, objective value => 0.975000 
 107 )  0.214806 + 0.232466 + 0.397099 + 0.155629 +  = 1.000000, objective value => 0.596296 
 108 )  0.334686 + 0.272179 + 0.284037 + 0.109098 +  = 1.000000, objective value => 0.596296 
 109 )  0.305056 + 0.461141 + 0.225006 + 0.008797 +  = 1.000000, objective value => 0.611111 
 110 )  0.222325 + 0.116144 + 0.306826 + 0.354705 +  = 1.000000, objective value => 0.596296 
 111 )  0.330138 + 0.168849 + 0.343830 + 0.157182 +  = 1.000000, objective value => 0.596296 
 112 )  0.161964 + 0.102432 + 0.333850 + 0.401754 +  = 1.000000, objective value => 0.596296 
 113 )  0.518431 + 0.142699 + 0.076892 + 0.261978 +  = 1.000000, objective value => 0.644445 
 114 )  0.261801 + 0.267577 + 0.281922 + 0.188699 +  = 1.000000, objective value => 0.596296 
 115 )  0.355053 + 0.282189 + 0.246390 + 0.116367 +  = 1.000000, objective value => 0.596296 
 116 )  0.060361 + 0.452959 + 0.206259 + 0.280420 +  = 1.000000, objective value => 0.975000 
 117 )  0.343893 + 0.187982 + 0.230649 + 0.237476 +  = 1.000000, objective value => 0.596296 
 118 )  0.190946 + 0.110185 + 0.157583 + 0.541285 +  = 1.000000, objective value => 0.683019 
 119 )  0.028499 + 0.356150 + 0.465773 + 0.149579 +  = 1.000000, objective value => 0.975000 
 120 )  0.293161 + 0.310600 + 0.267591 + 0.128649 +  = 1.000000, objective value => 0.596296 
 121 )  0.114206 + 0.354378 + 0.143185 + 0.388232 +  = 1.000000, objective value => 0.637037 
 122 )  0.380221 + 0.280139 + 0.137293 + 0.202347 +  = 1.000000, objective value => 0.596296 
 123 )  0.214613 + 0.248631 + 0.359579 + 0.177178 +  = 1.000000, objective value => 0.596296 
 124 )  0.291453 + 0.331023 + 0.230112 + 0.147412 +  = 1.000000, objective value => 0.596296 
 125 )  0.182559 + 0.129386 + 0.373826 + 0.314230 +  = 1.000000, objective value => 0.596296 
 126 )  0.113328 + 0.487592 + 0.169212 + 0.229868 +  = 1.000000, objective value => 0.975000 
 127 )  0.237932 + 0.295903 + 0.197953 + 0.268211 +  = 1.000000, objective value => 0.596296 
 128 )  0.259280 + 0.337409 + 0.135766 + 0.267545 +  = 1.000000, objective value => 0.596296 
 129 )  0.613580 + 0.153399 + 0.102226 + 0.130795 +  = 1.000000, objective value => 0.596296 
 130 )  0.352081 + 0.082319 + 0.363509 + 0.202091 +  = 1.000000, objective value => 0.596296 
 131 )  0.210151 + 0.096790 + 0.363156 + 0.329902 +  = 1.000000, objective value => 0.596296 
 132 )  0.197402 + 0.356050 + 0.312506 + 0.134042 +  = 1.000000, objective value => 0.975000 
 133 )  0.276812 + 0.260805 + 0.032191 + 0.430192 +  = 1.000000, objective value => 0.637037 
 134 )  0.312513 + 0.171190 + 0.279466 + 0.236831 +  = 1.000000, objective value => 0.596296 
 135 )  0.389442 + 0.132049 + 0.145831 + 0.332677 +  = 1.000000, objective value => 0.644445 
