 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.001020 + 0.266097 + 0.027327 + 0.705556 +  = 1.000000, objective value => 0.540741 
 2 )  0.039275 + 0.312876 + 0.387533 + 0.260316 +  = 1.000000, objective value => 0.975000 
 3 )  0.228195 + 0.498500 + 0.165816 + 0.107490 +  = 1.000000, objective value => 0.975000 
 4 )  0.212807 + 0.339998 + 0.181989 + 0.265206 +  = 1.000000, objective value => 0.596296 
 5 )  0.306415 + 0.074073 + 0.311714 + 0.307797 +  = 1.000000, objective value => 0.596296 
 6 )  0.018073 + 0.272960 + 0.513347 + 0.195620 +  = 1.000000, objective value => 0.975000 
 7 )  0.243168 + 0.095778 + 0.308539 + 0.352514 +  = 1.000000, objective value => 0.596296 
 8 )  0.297492 + 0.168077 + 0.193028 + 0.341404 +  = 1.000000, objective value => 0.596296 
 9 )  0.238282 + 0.296049 + 0.156248 + 0.309421 +  = 1.000000, objective value => 0.637037 
 10 )  0.358351 + 0.053960 + 0.288512 + 0.299177 +  = 1.000000, objective value => 0.596296 
 11 )  0.162761 + 0.276310 + 0.216336 + 0.344593 +  = 1.000000, objective value => 0.637037 
 12 )  0.230335 + 0.042422 + 0.327277 + 0.399966 +  = 1.000000, objective value => 0.596296 
 13 )  0.360459 + 0.262859 + 0.215784 + 0.160898 +  = 1.000000, objective value => 0.596296 
 14 )  0.037654 + 0.157655 + 0.697257 + 0.107433 +  = 1.000000, objective value => 0.975000 
 15 )  0.284700 + 0.352159 + 0.172811 + 0.190330 +  = 1.000000, objective value => 0.596296 
 16 )  0.376093 + 0.064807 + 0.385059 + 0.174040 +  = 1.000000, objective value => 0.596296 
 17 )  0.059393 + 0.274779 + 0.412147 + 0.253681 +  = 1.000000, objective value => 0.639216 
 18 )  0.372522 + 0.126548 + 0.301495 + 0.199435 +  = 1.000000, objective value => 0.596296 
 19 )  0.297693 + 0.011936 + 0.367443 + 0.322927 +  = 1.000000, objective value => 0.596296 
 20 )  0.298565 + 0.360609 + 0.318915 + 0.021911 +  = 1.000000, objective value => 0.611111 
 21 )  0.047804 + 0.305599 + 0.147572 + 0.499025 +  = 1.000000, objective value => 0.646154 
 22 )  0.290782 + 0.214601 + 0.142015 + 0.352602 +  = 1.000000, objective value => 0.596296 
 23 )  0.380668 + 0.210596 + 0.170476 + 0.238260 +  = 1.000000, objective value => 0.596296 
 24 )  0.418053 + 0.182333 + 0.087079 + 0.312535 +  = 1.000000, objective value => 0.644445 
 25 )  0.115185 + 0.400130 + 0.179485 + 0.305199 +  = 1.000000, objective value => 0.639216 
 26 )  0.281321 + 0.016633 + 0.378728 + 0.323318 +  = 1.000000, objective value => 0.596296 
 27 )  0.187671 + 0.235188 + 0.273214 + 0.303928 +  = 1.000000, objective value => 0.596296 
 28 )  0.208310 + 0.208461 + 0.574076 + 0.009154 +  = 1.000000, objective value => 0.975000 
 29 )  0.048494 + 0.452092 + 0.475206 + 0.024207 +  = 1.000000, objective value => 0.975000 
 30 )  0.165589 + 0.456427 + 0.274820 + 0.103163 +  = 1.000000, objective value => 0.975000 
 31 )  0.356028 + 0.092216 + 0.229202 + 0.322554 +  = 1.000000, objective value => 0.644445 
 32 )  0.347725 + 0.314228 + 0.173778 + 0.164269 +  = 1.000000, objective value => 0.596296 
 33 )  0.119409 + 0.114010 + 0.240999 + 0.525582 +  = 1.000000, objective value => 0.646154 
 34 )  0.286833 + 0.226224 + 0.200989 + 0.285953 +  = 1.000000, objective value => 0.596296 
 35 )  0.218350 + 0.238624 + 0.291260 + 0.251767 +  = 1.000000, objective value => 0.596296 
 36 )  0.014555 + 0.465015 + 0.176485 + 0.343946 +  = 1.000000, objective value => 0.975000 
 37 )  0.248700 + 0.299640 + 0.260977 + 0.190683 +  = 1.000000, objective value => 0.596296 
 38 )  0.022321 + 0.442564 + 0.245030 + 0.290084 +  = 1.000000, objective value => 0.975000 
 39 )  0.243479 + 0.359970 + 0.176499 + 0.220052 +  = 1.000000, objective value => 0.596296 
 40 )  0.282284 + 0.241428 + 0.187485 + 0.288803 +  = 1.000000, objective value => 0.596296 
 41 )  0.432492 + 0.215303 + 0.110207 + 0.241998 +  = 1.000000, objective value => 0.596296 
 42 )  0.410352 + 0.144564 + 0.123060 + 0.322024 +  = 1.000000, objective value => 0.644445 
 43 )  0.652080 + 0.031188 + 0.218897 + 0.097835 +  = 1.000000, objective value => 0.596296 
 44 )  0.269124 + 0.180800 + 0.290896 + 0.259180 +  = 1.000000, objective value => 0.596296 
 45 )  0.083274 + 0.371316 + 0.408480 + 0.136929 +  = 1.000000, objective value => 0.975000 
 46 )  0.243312 + 0.362442 + 0.184737 + 0.209509 +  = 1.000000, objective value => 0.596296 
 47 )  0.251455 + 0.399480 + 0.201294 + 0.147772 +  = 1.000000, objective value => 0.975000 
 48 )  0.339537 + 0.291782 + 0.223626 + 0.145054 +  = 1.000000, objective value => 0.596296 
 49 )  0.322485 + 0.454617 + 0.044147 + 0.178750 +  = 1.000000, objective value => 0.596296 
 50 )  0.126983 + 0.502844 + 0.035393 + 0.334780 +  = 1.000000, objective value => 0.975000 
 51 )  0.341189 + 0.269420 + 0.094684 + 0.294707 +  = 1.000000, objective value => 0.596296 
 52 )  0.186559 + 0.122828 + 0.401237 + 0.289377 +  = 1.000000, objective value => 0.596296 
 53 )  0.195144 + 0.284434 + 0.084619 + 0.435803 +  = 1.000000, objective value => 0.548148 
 54 )  0.086936 + 0.228639 + 0.435096 + 0.249329 +  = 1.000000, objective value => 0.596296 
 55 )  0.238023 + 0.165302 + 0.078126 + 0.518549 +  = 1.000000, objective value => 0.683019 
 56 )  0.099240 + 0.610041 + 0.251889 + 0.038830 +  = 1.000000, objective value => 0.975000 
 57 )  0.060453 + 0.351365 + 0.294558 + 0.293623 +  = 1.000000, objective value => 0.975000 
 58 )  0.332406 + 0.185593 + 0.161085 + 0.320916 +  = 1.000000, objective value => 0.596296 
 59 )  0.293179 + 0.167632 + 0.288112 + 0.251077 +  = 1.000000, objective value => 0.596296 
 60 )  0.283655 + 0.294988 + 0.262316 + 0.159041 +  = 1.000000, objective value => 0.596296 
 61 )  0.300237 + 0.069149 + 0.560054 + 0.070559 +  = 1.000000, objective value => 0.637037 
 62 )  0.317209 + 0.168096 + 0.367598 + 0.147096 +  = 1.000000, objective value => 0.596296 
 63 )  0.420908 + 0.443892 + 0.054578 + 0.080623 +  = 1.000000, objective value => 0.596296 
 64 )  0.483941 + 0.097157 + 0.356844 + 0.062059 +  = 1.000000, objective value => 0.596296 
 65 )  0.383736 + 0.264820 + 0.235281 + 0.116163 +  = 1.000000, objective value => 0.596296 
 66 )  0.437508 + 0.154277 + 0.115286 + 0.292929 +  = 1.000000, objective value => 0.644445 
 67 )  0.092963 + 0.241294 + 0.342903 + 0.322840 +  = 1.000000, objective value => 0.637037 
 68 )  0.194816 + 0.033820 + 0.255087 + 0.516276 +  = 1.000000, objective value => 0.588889 
 69 )  0.145564 + 0.323021 + 0.162327 + 0.369089 +  = 1.000000, objective value => 0.637037 
 70 )  0.341409 + 0.332015 + 0.250387 + 0.076189 +  = 1.000000, objective value => 0.596296 
 71 )  0.335276 + 0.199795 + 0.231373 + 0.233557 +  = 1.000000, objective value => 0.596296 
 72 )  0.290908 + 0.296700 + 0.304672 + 0.107719 +  = 1.000000, objective value => 0.596296 
 73 )  0.246455 + 0.267418 + 0.064443 + 0.421684 +  = 1.000000, objective value => 0.637037 
 74 )  0.193841 + 0.447623 + 0.282020 + 0.076516 +  = 1.000000, objective value => 0.975000 
 75 )  0.256501 + 0.116243 + 0.383668 + 0.243588 +  = 1.000000, objective value => 0.596296 
 76 )  0.502880 + 0.425915 + 0.040973 + 0.030232 +  = 1.000000, objective value => 0.596296 
 77 )  0.454055 + 0.081712 + 0.297639 + 0.166594 +  = 1.000000, objective value => 0.596296 
 78 )  0.160183 + 0.187217 + 0.576763 + 0.075836 +  = 1.000000, objective value => 0.975000 
 79 )  0.304501 + 0.223841 + 0.252392 + 0.219266 +  = 1.000000, objective value => 0.596296 
 80 )  0.369662 + 0.198619 + 0.192596 + 0.239122 +  = 1.000000, objective value => 0.596296 
 81 )  0.021025 + 0.191502 + 0.344807 + 0.442666 +  = 1.000000, objective value => 0.637037 
 82 )  0.365289 + 0.210844 + 0.086778 + 0.337090 +  = 1.000000, objective value => 0.644445 
 83 )  0.005815 + 0.379087 + 0.418070 + 0.197029 +  = 1.000000, objective value => 0.975000 
 84 )  0.349319 + 0.063469 + 0.083008 + 0.504204 +  = 1.000000, objective value => 0.588889 
 85 )  0.343871 + 0.367662 + 0.164935 + 0.123531 +  = 1.000000, objective value => 0.596296 
 86 )  0.180977 + 0.477310 + 0.209301 + 0.132412 +  = 1.000000, objective value => 0.975000 
 87 )  0.152185 + 0.261328 + 0.030098 + 0.556388 +  = 1.000000, objective value => 0.683019 
 88 )  0.277762 + 0.000140 + 0.352038 + 0.370061 +  = 1.000000, objective value => 0.644445 
 89 )  0.413471 + 0.088965 + 0.059919 + 0.437645 +  = 1.000000, objective value => 0.644445 
 90 )  0.075528 + 0.415623 + 0.156502 + 0.352348 +  = 1.000000, objective value => 0.639216 
 91 )  0.317705 + 0.093958 + 0.138484 + 0.449853 +  = 1.000000, objective value => 0.644445 
 92 )  0.381187 + 0.242507 + 0.024738 + 0.351568 +  = 1.000000, objective value => 0.644445 
 93 )  0.207328 + 0.219007 + 0.328808 + 0.244858 +  = 1.000000, objective value => 0.596296 
 94 )  0.459148 + 0.055403 + 0.273776 + 0.211673 +  = 1.000000, objective value => 0.596296 
 95 )  0.153616 + 0.274372 + 0.378850 + 0.193162 +  = 1.000000, objective value => 0.596296 
 96 )  0.260344 + 0.221221 + 0.269530 + 0.248904 +  = 1.000000, objective value => 0.596296 
