 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.001600 + 0.407265 + 0.216654 + 0.374480 +  = 1.000000, objective value => 0.975000 
 2 )  0.193350 + 0.158372 + 0.323943 + 0.324334 +  = 1.000000, objective value => 0.596296 
 3 )  0.365014 + 0.108581 + 0.303727 + 0.222678 +  = 1.000000, objective value => 0.596296 
 4 )  0.437598 + 0.148302 + 0.366411 + 0.047689 +  = 1.000000, objective value => 0.596296 
 5 )  0.169248 + 0.214350 + 0.389109 + 0.227294 +  = 1.000000, objective value => 0.596296 
 6 )  0.490130 + 0.127150 + 0.105766 + 0.276955 +  = 1.000000, objective value => 0.644445 
 7 )  0.133319 + 0.360981 + 0.197598 + 0.308102 +  = 1.000000, objective value => 0.596296 
 8 )  0.026984 + 0.355913 + 0.367669 + 0.249434 +  = 1.000000, objective value => 0.975000 
 9 )  0.180006 + 0.332127 + 0.328989 + 0.158878 +  = 1.000000, objective value => 0.975000 
 10 )  0.181661 + 0.412981 + 0.028409 + 0.376949 +  = 1.000000, objective value => 0.596296 
 11 )  0.282645 + 0.130607 + 0.393523 + 0.193226 +  = 1.000000, objective value => 0.596296 
 12 )  0.235241 + 0.345655 + 0.323646 + 0.095458 +  = 1.000000, objective value => 0.975000 
 13 )  0.673679 + 0.014268 + 0.174941 + 0.137112 +  = 1.000000, objective value => 0.596296 
 14 )  0.323389 + 0.499609 + 0.039901 + 0.137101 +  = 1.000000, objective value => 0.611111 
 15 )  0.038962 + 0.557954 + 0.029698 + 0.373386 +  = 1.000000, objective value => 0.975000 
 16 )  0.029968 + 0.626473 + 0.106596 + 0.236963 +  = 1.000000, objective value => 0.975000 
 17 )  0.081777 + 0.233421 + 0.069133 + 0.615669 +  = 1.000000, objective value => 0.646154 
 18 )  0.020349 + 0.562322 + 0.389131 + 0.028198 +  = 1.000000, objective value => 0.975000 
 19 )  0.635804 + 0.055303 + 0.061674 + 0.247218 +  = 1.000000, objective value => 0.644445 
 20 )  0.030437 + 0.036072 + 0.064696 + 0.868795 +  = 1.000000, objective value => 0.683019 
 21 )  0.104066 + 0.069822 + 0.426401 + 0.399710 +  = 1.000000, objective value => 0.596296 
 22 )  0.013380 + 0.465152 + 0.437070 + 0.084398 +  = 1.000000, objective value => 0.975000 
 23 )  0.244013 + 0.311407 + 0.194113 + 0.250467 +  = 1.000000, objective value => 0.596296 
 24 )  0.277631 + 0.522330 + 0.055921 + 0.144118 +  = 1.000000, objective value => 0.975000 
 25 )  0.170244 + 0.142805 + 0.269551 + 0.417400 +  = 1.000000, objective value => 0.701961 
 26 )  0.193791 + 0.413879 + 0.174913 + 0.217417 +  = 1.000000, objective value => 0.975000 
 27 )  0.360363 + 0.298864 + 0.033117 + 0.307656 +  = 1.000000, objective value => 0.596296 
 28 )  0.144007 + 0.302049 + 0.327108 + 0.226835 +  = 1.000000, objective value => 0.596296 
 29 )  0.007120 + 0.389669 + 0.393546 + 0.209664 +  = 1.000000, objective value => 0.975000 
 30 )  0.168316 + 0.345252 + 0.267072 + 0.219360 +  = 1.000000, objective value => 0.639216 
 31 )  0.024428 + 0.559511 + 0.218550 + 0.197511 +  = 1.000000, objective value => 0.975000 
