 trial_no )----------variables-----------sum of variables--------objective value------------------
 63 )  0.351357 + 0.378451 + 0.109071 + 0.161121 +  = 1.000000, objective value => 0.690196 
 64 )  0.082542 + 0.559992 + 0.209928 + 0.147537 +  = 1.000000, objective value => 0.925000 
 65 )  0.332208 + 0.274199 + 0.157970 + 0.235623 +  = 1.000000, objective value => 0.690196 
 66 )  0.316326 + 0.004841 + 0.313273 + 0.365560 +  = 1.000000, objective value => 0.690196 
 67 )  0.194604 + 0.028371 + 0.392843 + 0.384182 +  = 1.000000, objective value => 0.686275 
 68 )  0.360331 + 0.116302 + 0.347997 + 0.175370 +  = 1.000000, objective value => 0.690196 
 69 )  0.117353 + 0.342248 + 0.182996 + 0.357404 +  = 1.000000, objective value => 0.690196 
 70 )  0.147851 + 0.338179 + 0.222272 + 0.291699 +  = 1.000000, objective value => 0.690196 
 71 )  0.220166 + 0.301877 + 0.162981 + 0.314975 +  = 1.000000, objective value => 0.690196 
 72 )  0.044419 + 0.201866 + 0.292519 + 0.461196 +  = 1.000000, objective value => 0.809524 
 73 )  0.047829 + 0.258144 + 0.666170 + 0.027857 +  = 1.000000, objective value => 0.809524 
 74 )  0.249361 + 0.002894 + 0.564052 + 0.183693 +  = 1.000000, objective value => 0.762791 
 75 )  0.167375 + 0.200722 + 0.336159 + 0.295744 +  = 1.000000, objective value => 0.762791 
 76 )  0.278179 + 0.266414 + 0.327039 + 0.128368 +  = 1.000000, objective value => 0.690196 
 77 )  0.313707 + 0.288738 + 0.293810 + 0.103745 +  = 1.000000, objective value => 0.690196 
 78 )  0.408844 + 0.091242 + 0.157162 + 0.342752 +  = 1.000000, objective value => 0.690196 
 79 )  0.634817 + 0.130627 + 0.062881 + 0.171675 +  = 1.000000, objective value => 0.690196 
 80 )  0.008664 + 0.209320 + 0.640030 + 0.141985 +  = 1.000000, objective value => 0.809524 
 81 )  0.336769 + 0.354867 + 0.264658 + 0.043706 +  = 1.000000, objective value => 0.686275 
 82 )  0.197875 + 0.417436 + 0.314305 + 0.070385 +  = 1.000000, objective value => 0.734884 
 83 )  0.182086 + 0.109139 + 0.081500 + 0.627275 +  = 1.000000, objective value => 0.690196 
 84 )  0.408082 + 0.223997 + 0.249635 + 0.118286 +  = 1.000000, objective value => 0.690196 
