 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.001066 + 0.104715 + 0.239684 + 0.654535 +  = 1.000000, objective value => 0.809524 
 2 )  0.237717 + 0.425292 + 0.105981 + 0.231010 +  = 1.000000, objective value => 0.690196 
 3 )  0.140369 + 0.232063 + 0.389112 + 0.238456 +  = 1.000000, objective value => 0.809524 
 4 )  0.010938 + 0.212095 + 0.407572 + 0.369395 +  = 1.000000, objective value => 0.809524 
 5 )  0.139832 + 0.000428 + 0.473191 + 0.386549 +  = 1.000000, objective value => 0.762791 
 6 )  0.131503 + 0.135006 + 0.272928 + 0.460563 +  = 1.000000, objective value => 0.762791 
 7 )  0.001156 + 0.341258 + 0.651136 + 0.006451 +  = 1.000000, objective value => 0.925000 
 8 )  0.120693 + 0.233751 + 0.516061 + 0.129496 +  = 1.000000, objective value => 0.809524 
 9 )  0.072038 + 0.103242 + 0.418479 + 0.406242 +  = 1.000000, objective value => 0.809524 
 10 )  0.127549 + 0.174970 + 0.438186 + 0.259296 +  = 1.000000, objective value => 0.809524 
 11 )  0.042165 + 0.268090 + 0.346631 + 0.343115 +  = 1.000000, objective value => 0.809524 
 12 )  0.548705 + 0.353389 + 0.088522 + 0.009384 +  = 1.000000, objective value => 0.690196 
 13 )  0.233717 + 0.379016 + 0.332943 + 0.054324 +  = 1.000000, objective value => 0.734884 
 14 )  0.303665 + 0.246049 + 0.234898 + 0.215387 +  = 1.000000, objective value => 0.690196 
 15 )  0.122832 + 0.345415 + 0.097891 + 0.433863 +  = 1.000000, objective value => 0.728000 
 16 )  0.338859 + 0.329377 + 0.066077 + 0.265687 +  = 1.000000, objective value => 0.690196 
 17 )  0.140557 + 0.115747 + 0.319437 + 0.424259 +  = 1.000000, objective value => 0.762791 
 18 )  0.114580 + 0.321476 + 0.050310 + 0.513635 +  = 1.000000, objective value => 0.728000 
 19 )  0.010007 + 0.386159 + 0.420540 + 0.183295 +  = 1.000000, objective value => 0.762791 
 20 )  0.166888 + 0.260439 + 0.508143 + 0.064529 +  = 1.000000, objective value => 0.762791 
 21 )  0.417587 + 0.201593 + 0.042556 + 0.338264 +  = 1.000000, objective value => 0.690196 
 22 )  0.319986 + 0.308435 + 0.260203 + 0.111377 +  = 1.000000, objective value => 0.690196 
