 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.001016 + 0.384950 + 0.418432 + 0.195602 +  = 1.000000, objective value => 0.809524 
 2 )  0.266722 + 0.297087 + 0.266193 + 0.169998 +  = 1.000000, objective value => 0.690196 
 3 )  0.420633 + 0.184124 + 0.345303 + 0.049940 +  = 1.000000, objective value => 0.690196 
 4 )  0.409767 + 0.212042 + 0.184981 + 0.193211 +  = 1.000000, objective value => 0.690196 
 5 )  0.445694 + 0.291940 + 0.244910 + 0.017456 +  = 1.000000, objective value => 0.690196 
 6 )  0.340957 + 0.112765 + 0.347573 + 0.198705 +  = 1.000000, objective value => 0.690196 
 7 )  0.350026 + 0.329880 + 0.157439 + 0.162654 +  = 1.000000, objective value => 0.690196 
 8 )  0.428997 + 0.298056 + 0.199528 + 0.073420 +  = 1.000000, objective value => 0.690196 
 9 )  0.044467 + 0.373706 + 0.222936 + 0.358890 +  = 1.000000, objective value => 0.809524 
 10 )  0.336356 + 0.333246 + 0.046411 + 0.283987 +  = 1.000000, objective value => 0.690196 
 11 )  0.403358 + 0.154129 + 0.348478 + 0.094034 +  = 1.000000, objective value => 0.690196 
 12 )  0.325642 + 0.104996 + 0.255810 + 0.313552 +  = 1.000000, objective value => 0.690196 
 13 )  0.122145 + 0.293408 + 0.437529 + 0.146919 +  = 1.000000, objective value => 0.762791 
 14 )  0.303272 + 0.237523 + 0.144915 + 0.314290 +  = 1.000000, objective value => 0.690196 
 15 )  0.072423 + 0.218072 + 0.400957 + 0.308548 +  = 1.000000, objective value => 0.809524 
 16 )  0.292106 + 0.283933 + 0.125946 + 0.298015 +  = 1.000000, objective value => 0.690196 
 17 )  0.103961 + 0.392222 + 0.475054 + 0.028763 +  = 1.000000, objective value => 0.925000 
 18 )  0.022821 + 0.364712 + 0.111134 + 0.501333 +  = 1.000000, objective value => 0.809524 
 19 )  0.100126 + 0.482323 + 0.132101 + 0.285449 +  = 1.000000, objective value => 0.925000 
 20 )  0.217568 + 0.185908 + 0.329695 + 0.266830 +  = 1.000000, objective value => 0.690196 
 21 )  0.405373 + 0.157369 + 0.160013 + 0.277245 +  = 1.000000, objective value => 0.690196 
 22 )  0.224303 + 0.137947 + 0.410323 + 0.227427 +  = 1.000000, objective value => 0.690196 
 23 )  0.318208 + 0.215512 + 0.348648 + 0.117632 +  = 1.000000, objective value => 0.690196 
 24 )  0.311352 + 0.343778 + 0.058434 + 0.286436 +  = 1.000000, objective value => 0.690196 
 25 )  0.262741 + 0.350950 + 0.272363 + 0.113945 +  = 1.000000, objective value => 0.686275 
 26 )  0.448323 + 0.141216 + 0.169148 + 0.241313 +  = 1.000000, objective value => 0.690196 
 27 )  0.158402 + 0.026763 + 0.284590 + 0.530245 +  = 1.000000, objective value => 0.686275 
 28 )  0.139355 + 0.404649 + 0.371921 + 0.084075 +  = 1.000000, objective value => 0.734884 
 29 )  0.295757 + 0.035080 + 0.139597 + 0.529565 +  = 1.000000, objective value => 0.690196 
 30 )  0.322740 + 0.396892 + 0.052168 + 0.228201 +  = 1.000000, objective value => 0.690196 
 31 )  0.076958 + 0.472929 + 0.448983 + 0.001130 +  = 1.000000, objective value => 0.925000 
