 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.000099 + 0.398534 + 0.281445 + 0.319922 +  = 1.000000, objective value => 0.809524 
 2 )  0.422064 + 0.244207 + 0.176610 + 0.157119 +  = 1.000000, objective value => 0.690196 
 3 )  0.251383 + 0.027061 + 0.335093 + 0.386464 +  = 1.000000, objective value => 0.690196 
 4 )  0.377476 + 0.015101 + 0.245369 + 0.362053 +  = 1.000000, objective value => 0.690196 
 5 )  0.154016 + 0.264493 + 0.575459 + 0.006032 +  = 1.000000, objective value => 0.762791 
 6 )  0.193561 + 0.222563 + 0.246960 + 0.336916 +  = 1.000000, objective value => 0.690196 
 7 )  0.149844 + 0.314419 + 0.295381 + 0.240357 +  = 1.000000, objective value => 0.690196 
 8 )  0.283800 + 0.021119 + 0.183073 + 0.512008 +  = 1.000000, objective value => 0.690196 
 9 )  0.392271 + 0.190361 + 0.037026 + 0.380343 +  = 1.000000, objective value => 0.690196 
 10 )  0.291177 + 0.205877 + 0.217418 + 0.285528 +  = 1.000000, objective value => 0.690196 
 11 )  0.189638 + 0.219775 + 0.313543 + 0.277043 +  = 1.000000, objective value => 0.690196 
 12 )  0.246147 + 0.081473 + 0.428193 + 0.244187 +  = 1.000000, objective value => 0.686275 
 13 )  0.113281 + 0.057698 + 0.621607 + 0.207414 +  = 1.000000, objective value => 0.762791 
 14 )  0.061865 + 0.114787 + 0.361231 + 0.462117 +  = 1.000000, objective value => 0.809524 
 15 )  0.227439 + 0.355062 + 0.105501 + 0.311998 +  = 1.000000, objective value => 0.690196 
 16 )  0.104562 + 0.101636 + 0.366104 + 0.427698 +  = 1.000000, objective value => 0.762791 
 17 )  0.191771 + 0.262186 + 0.314999 + 0.231044 +  = 1.000000, objective value => 0.690196 
 18 )  0.363537 + 0.178417 + 0.017813 + 0.440234 +  = 1.000000, objective value => 0.690196 
 19 )  0.122398 + 0.162382 + 0.349589 + 0.365632 +  = 1.000000, objective value => 0.809524 
 20 )  0.136264 + 0.298500 + 0.502190 + 0.063046 +  = 1.000000, objective value => 0.762791 
 21 )  0.306226 + 0.279234 + 0.174679 + 0.239860 +  = 1.000000, objective value => 0.690196 
 22 )  0.026595 + 0.497137 + 0.048651 + 0.427617 +  = 1.000000, objective value => 0.925000 
 23 )  0.348052 + 0.232510 + 0.352337 + 0.067101 +  = 1.000000, objective value => 0.690196 
 24 )  0.259834 + 0.195056 + 0.359245 + 0.185865 +  = 1.000000, objective value => 0.690196 
 25 )  0.315398 + 0.213488 + 0.069200 + 0.401914 +  = 1.000000, objective value => 0.690196 
 26 )  0.106087 + 0.033416 + 0.548938 + 0.311558 +  = 1.000000, objective value => 0.762791 
 27 )  0.335118 + 0.081996 + 0.039546 + 0.543341 +  = 1.000000, objective value => 0.690196 
 28 )  0.015969 + 0.455019 + 0.315052 + 0.213959 +  = 1.000000, objective value => 0.925000 
 29 )  0.269414 + 0.305169 + 0.315039 + 0.110378 +  = 1.000000, objective value => 0.690196 
 30 )  0.313488 + 0.151222 + 0.174448 + 0.360842 +  = 1.000000, objective value => 0.690196 
 31 )  0.491010 + 0.159907 + 0.060551 + 0.288531 +  = 1.000000, objective value => 0.690196 
 32 )  0.561827 + 0.205271 + 0.095406 + 0.137497 +  = 1.000000, objective value => 0.690196 
 33 )  0.200927 + 0.247670 + 0.286989 + 0.264415 +  = 1.000000, objective value => 0.690196 
