 trial_no )----------variables-----------sum of variables--------objective value------------------
 63 )  0.631061 + 0.338428 + 0.012316 + 0.018194 +  = 1.000000, objective value => 0.690196 
 64 )  0.533127 + 0.198672 + 0.139384 + 0.128817 +  = 1.000000, objective value => 0.690196 
 65 )  0.402926 + 0.393488 + 0.025701 + 0.177885 +  = 1.000000, objective value => 0.690196 
 66 )  0.041702 + 0.134203 + 0.441992 + 0.382103 +  = 1.000000, objective value => 0.809524 
 67 )  0.529072 + 0.244444 + 0.114504 + 0.111980 +  = 1.000000, objective value => 0.690196 
 68 )  0.300683 + 0.329477 + 0.193479 + 0.176361 +  = 1.000000, objective value => 0.690196 
 69 )  0.268002 + 0.206443 + 0.274908 + 0.250647 +  = 1.000000, objective value => 0.690196 
 70 )  0.289681 + 0.316059 + 0.084643 + 0.309617 +  = 1.000000, objective value => 0.690196 
 71 )  0.335187 + 0.040366 + 0.327541 + 0.296907 +  = 1.000000, objective value => 0.690196 
 72 )  0.222071 + 0.099436 + 0.183764 + 0.494728 +  = 1.000000, objective value => 0.690196 
 73 )  0.006160 + 0.468850 + 0.172920 + 0.352070 +  = 1.000000, objective value => 0.925000 
 74 )  0.487612 + 0.317001 + 0.186308 + 0.009079 +  = 1.000000, objective value => 0.690196 
 75 )  0.079258 + 0.141759 + 0.392018 + 0.386965 +  = 1.000000, objective value => 0.809524 
 76 )  0.381713 + 0.209970 + 0.275729 + 0.132588 +  = 1.000000, objective value => 0.690196 
 77 )  0.281580 + 0.489998 + 0.134740 + 0.093682 +  = 1.000000, objective value => 0.670588 
 78 )  0.484715 + 0.084660 + 0.303792 + 0.126833 +  = 1.000000, objective value => 0.690196 
 79 )  0.308848 + 0.504073 + 0.169953 + 0.017126 +  = 1.000000, objective value => 0.670588 
 80 )  0.171986 + 0.246471 + 0.340914 + 0.240630 +  = 1.000000, objective value => 0.690196 
 81 )  0.106036 + 0.454303 + 0.311710 + 0.127951 +  = 1.000000, objective value => 0.925000 
 82 )  0.217110 + 0.175424 + 0.065988 + 0.541477 +  = 1.000000, objective value => 0.690196 
 83 )  0.101593 + 0.173302 + 0.330577 + 0.394529 +  = 1.000000, objective value => 0.809524 
 84 )  0.306371 + 0.154362 + 0.249979 + 0.289289 +  = 1.000000, objective value => 0.690196 
 85 )  0.281960 + 0.278298 + 0.247998 + 0.191744 +  = 1.000000, objective value => 0.690196 
 86 )  0.376690 + 0.400056 + 0.073132 + 0.150123 +  = 1.000000, objective value => 0.690196 
 87 )  0.124821 + 0.268978 + 0.364809 + 0.241392 +  = 1.000000, objective value => 0.809524 
 88 )  0.134335 + 0.376548 + 0.106828 + 0.382289 +  = 1.000000, objective value => 0.690196 
 89 )  0.012696 + 0.039064 + 0.599177 + 0.349063 +  = 1.000000, objective value => 0.809524 
 90 )  0.392854 + 0.245568 + 0.233757 + 0.127822 +  = 1.000000, objective value => 0.690196 
 91 )  0.181182 + 0.092643 + 0.459851 + 0.266324 +  = 1.000000, objective value => 0.762791 
 92 )  0.229896 + 0.088934 + 0.331931 + 0.349238 +  = 1.000000, objective value => 0.690196 
 93 )  0.194330 + 0.182862 + 0.390977 + 0.231831 +  = 1.000000, objective value => 0.762791 
 94 )  0.159999 + 0.206614 + 0.568364 + 0.065023 +  = 1.000000, objective value => 0.762791 
 95 )  0.043821 + 0.205147 + 0.461495 + 0.289537 +  = 1.000000, objective value => 0.809524 
 96 )  0.285517 + 0.298450 + 0.248019 + 0.168013 +  = 1.000000, objective value => 0.690196 
 97 )  0.283535 + 0.016945 + 0.381177 + 0.318342 +  = 1.000000, objective value => 0.690196 
 98 )  0.321754 + 0.016838 + 0.423313 + 0.238094 +  = 1.000000, objective value => 0.690196 
 99 )  0.249435 + 0.043426 + 0.580603 + 0.126536 +  = 1.000000, objective value => 0.762791 
 100 )  0.308875 + 0.203404 + 0.414598 + 0.073123 +  = 1.000000, objective value => 0.690196 
 101 )  0.473854 + 0.148402 + 0.326254 + 0.051490 +  = 1.000000, objective value => 0.690196 
 102 )  0.186957 + 0.388259 + 0.077044 + 0.347739 +  = 1.000000, objective value => 0.690196 
 103 )  0.786924 + 0.092939 + 0.085432 + 0.034705 +  = 1.000000, objective value => 0.690196 
 104 )  0.121294 + 0.439111 + 0.119703 + 0.319892 +  = 1.000000, objective value => 0.734884 
 105 )  0.280637 + 0.239472 + 0.094415 + 0.385475 +  = 1.000000, objective value => 0.690196 
 106 )  0.246173 + 0.378504 + 0.278083 + 0.097240 +  = 1.000000, objective value => 0.734884 
 107 )  0.214806 + 0.232466 + 0.397099 + 0.155629 +  = 1.000000, objective value => 0.690196 
 108 )  0.334686 + 0.272179 + 0.284037 + 0.109098 +  = 1.000000, objective value => 0.690196 
 109 )  0.305056 + 0.461141 + 0.225006 + 0.008797 +  = 1.000000, objective value => 0.670588 
 110 )  0.222325 + 0.116144 + 0.306826 + 0.354705 +  = 1.000000, objective value => 0.690196 
 111 )  0.330138 + 0.168849 + 0.343830 + 0.157182 +  = 1.000000, objective value => 0.690196 
 112 )  0.161964 + 0.102432 + 0.333850 + 0.401754 +  = 1.000000, objective value => 0.762791 
 113 )  0.518431 + 0.142699 + 0.076892 + 0.261978 +  = 1.000000, objective value => 0.690196 
 114 )  0.261801 + 0.267577 + 0.281922 + 0.188699 +  = 1.000000, objective value => 0.690196 
 115 )  0.355053 + 0.282189 + 0.246390 + 0.116367 +  = 1.000000, objective value => 0.690196 
 116 )  0.060361 + 0.452959 + 0.206259 + 0.280420 +  = 1.000000, objective value => 0.925000 
 117 )  0.343893 + 0.187982 + 0.230649 + 0.237476 +  = 1.000000, objective value => 0.690196 
 118 )  0.190946 + 0.110185 + 0.157583 + 0.541285 +  = 1.000000, objective value => 0.690196 
 119 )  0.028499 + 0.356150 + 0.465773 + 0.149579 +  = 1.000000, objective value => 0.762791 
 120 )  0.293161 + 0.310600 + 0.267591 + 0.128649 +  = 1.000000, objective value => 0.690196 
 121 )  0.114206 + 0.354378 + 0.143185 + 0.388232 +  = 1.000000, objective value => 0.690196 
 122 )  0.380221 + 0.280139 + 0.137293 + 0.202347 +  = 1.000000, objective value => 0.690196 
 123 )  0.214613 + 0.248631 + 0.359579 + 0.177178 +  = 1.000000, objective value => 0.690196 
 124 )  0.291453 + 0.331023 + 0.230112 + 0.147412 +  = 1.000000, objective value => 0.690196 
 125 )  0.182559 + 0.129386 + 0.373826 + 0.314230 +  = 1.000000, objective value => 0.762791 
 126 )  0.113328 + 0.487592 + 0.169212 + 0.229868 +  = 1.000000, objective value => 0.925000 
 127 )  0.237932 + 0.295903 + 0.197953 + 0.268211 +  = 1.000000, objective value => 0.690196 
 128 )  0.259280 + 0.337409 + 0.135766 + 0.267545 +  = 1.000000, objective value => 0.690196 
 129 )  0.613580 + 0.153399 + 0.102226 + 0.130795 +  = 1.000000, objective value => 0.690196 
 130 )  0.352081 + 0.082319 + 0.363509 + 0.202091 +  = 1.000000, objective value => 0.690196 
 131 )  0.210151 + 0.096790 + 0.363156 + 0.329902 +  = 1.000000, objective value => 0.690196 
 132 )  0.197402 + 0.356050 + 0.312506 + 0.134042 +  = 1.000000, objective value => 0.734884 
 133 )  0.276812 + 0.260805 + 0.032191 + 0.430192 +  = 1.000000, objective value => 0.690196 
 134 )  0.312513 + 0.171190 + 0.279466 + 0.236831 +  = 1.000000, objective value => 0.690196 
 135 )  0.389442 + 0.132049 + 0.145831 + 0.332677 +  = 1.000000, objective value => 0.690196 
 136 )  0.133107 + 0.038975 + 0.312531 + 0.515388 +  = 1.000000, objective value => 0.762791 
 137 )  0.168908 + 0.192502 + 0.095776 + 0.542814 +  = 1.000000, objective value => 0.690196 
 138 )  0.269715 + 0.218543 + 0.137318 + 0.374424 +  = 1.000000, objective value => 0.690196 
 139 )  0.463884 + 0.183561 + 0.029182 + 0.323372 +  = 1.000000, objective value => 0.690196 
 140 )  0.288968 + 0.402842 + 0.012378 + 0.295813 +  = 1.000000, objective value => 0.690196 
 141 )  0.311403 + 0.080876 + 0.271278 + 0.336442 +  = 1.000000, objective value => 0.690196 
 142 )  0.097793 + 0.322479 + 0.039727 + 0.540001 +  = 1.000000, objective value => 0.728000 
 143 )  0.366499 + 0.338926 + 0.232990 + 0.061586 +  = 1.000000, objective value => 0.690196 
 144 )  0.221627 + 0.288323 + 0.282001 + 0.208049 +  = 1.000000, objective value => 0.690196 
 145 )  0.147524 + 0.427990 + 0.409994 + 0.014492 +  = 1.000000, objective value => 0.925000 
 146 )  0.272293 + 0.266402 + 0.103742 + 0.357563 +  = 1.000000, objective value => 0.690196 
 147 )  0.265128 + 0.142176 + 0.400375 + 0.192321 +  = 1.000000, objective value => 0.690196 
 148 )  0.377578 + 0.031845 + 0.338567 + 0.252010 +  = 1.000000, objective value => 0.690196 
 149 )  0.569731 + 0.059508 + 0.159189 + 0.211572 +  = 1.000000, objective value => 0.690196 
 150 )  0.294713 + 0.328050 + 0.023230 + 0.354007 +  = 1.000000, objective value => 0.690196 
 151 )  0.218888 + 0.199962 + 0.257385 + 0.323765 +  = 1.000000, objective value => 0.690196 
 152 )  0.472314 + 0.147691 + 0.223028 + 0.156967 +  = 1.000000, objective value => 0.690196 
 153 )  0.022848 + 0.445614 + 0.499184 + 0.032354 +  = 1.000000, objective value => 0.925000 
 154 )  0.384137 + 0.250779 + 0.046971 + 0.318113 +  = 1.000000, objective value => 0.690196 
 155 )  0.004642 + 0.234846 + 0.259972 + 0.500541 +  = 1.000000, objective value => 0.809524 
 156 )  0.281726 + 0.355629 + 0.204980 + 0.157666 +  = 1.000000, objective value => 0.690196 
 157 )  0.118756 + 0.158058 + 0.265640 + 0.457546 +  = 1.000000, objective value => 0.809524 
 158 )  0.189063 + 0.244299 + 0.264941 + 0.301696 +  = 1.000000, objective value => 0.728000 
 159 )  0.162489 + 0.019004 + 0.463424 + 0.355083 +  = 1.000000, objective value => 0.762791 
 160 )  0.283815 + 0.379207 + 0.065183 + 0.271795 +  = 1.000000, objective value => 0.690196 
 161 )  0.411615 + 0.166687 + 0.287100 + 0.134598 +  = 1.000000, objective value => 0.690196 
 162 )  0.411629 + 0.069865 + 0.188348 + 0.330158 +  = 1.000000, objective value => 0.690196 
 163 )  0.326775 + 0.249706 + 0.117727 + 0.305793 +  = 1.000000, objective value => 0.690196 
 164 )  0.214775 + 0.228049 + 0.052390 + 0.504786 +  = 1.000000, objective value => 0.690196 
 165 )  0.117673 + 0.140437 + 0.385386 + 0.356505 +  = 1.000000, objective value => 0.762791 
