 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.001522 + 0.363197 + 0.342136 + 0.293146 +  = 1.000000, objective value => 2.604179 
 2 )  0.176009 + 0.269517 + 0.174378 + 0.380096 +  = 1.000000, objective value => 1.352965 
 3 )  0.066943 + 0.239113 + 0.413608 + 0.280337 +  = 1.000000, objective value => 2.041575 
 4 )  0.077046 + 0.630570 + 0.280652 + 0.011732 +  = 1.000000, objective value => 2.604179 
 5 )  0.213984 + 0.288399 + 0.260542 + 0.237075 +  = 1.000000, objective value => 1.198787 
 6 )  0.345084 + 0.173814 + 0.355282 + 0.125819 +  = 1.000000, objective value => 1.088893 
 7 )  0.002779 + 0.352390 + 0.395202 + 0.249629 +  = 1.000000, objective value => 2.604179 
 8 )  0.212299 + 0.031666 + 0.148748 + 0.607286 +  = 1.000000, objective value => 1.008201 
 9 )  0.182802 + 0.261984 + 0.402961 + 0.152253 +  = 1.000000, objective value => 1.352965 
 10 )  0.392242 + 0.076909 + 0.425198 + 0.105650 +  = 1.000000, objective value => 1.089694 
 11 )  0.196391 + 0.029447 + 0.395268 + 0.378893 +  = 1.000000, objective value => 1.088893 
 12 )  0.304405 + 0.049757 + 0.271852 + 0.373985 +  = 1.000000, objective value => 0.999328 
 13 )  0.046825 + 0.319849 + 0.425829 + 0.207496 +  = 1.000000, objective value => 2.604179 
 14 )  0.125219 + 0.055210 + 0.311140 + 0.508431 +  = 1.000000, objective value => 1.059139 
 15 )  0.178643 + 0.211985 + 0.337177 + 0.272195 +  = 1.000000, objective value => 1.144300 
 16 )  0.274548 + 0.248194 + 0.406086 + 0.071172 +  = 1.000000, objective value => 1.265872 
 17 )  0.447484 + 0.368499 + 0.046464 + 0.137554 +  = 1.000000, objective value => 1.026393 
 18 )  0.097176 + 0.232082 + 0.343106 + 0.327636 +  = 1.000000, objective value => 2.041575 
 19 )  0.059339 + 0.646583 + 0.028810 + 0.265269 +  = 1.000000, objective value => 2.604179 
 20 )  0.078171 + 0.422374 + 0.262031 + 0.237424 +  = 1.000000, objective value => 2.604179 
 21 )  0.563798 + 0.035402 + 0.188659 + 0.212141 +  = 1.000000, objective value => 1.008201 
 22 )  0.034070 + 0.287307 + 0.638047 + 0.040576 +  = 1.000000, objective value => 2.604179 
 23 )  0.491158 + 0.195826 + 0.067590 + 0.245426 +  = 1.000000, objective value => 1.082048 
 24 )  0.227473 + 0.172388 + 0.305672 + 0.294466 +  = 1.000000, objective value => 1.087958 
 25 )  0.257651 + 0.460239 + 0.279750 + 0.002360 +  = 1.000000, objective value => 1.339571 
 26 )  0.215489 + 0.410847 + 0.310333 + 0.063332 +  = 1.000000, objective value => 1.414948 
 27 )  0.799081 + 0.087267 + 0.080202 + 0.033451 +  = 1.000000, objective value => 1.008201 
 28 )  0.081418 + 0.376825 + 0.321215 + 0.220541 +  = 1.000000, objective value => 2.486133 
 29 )  0.317955 + 0.270499 + 0.290272 + 0.121274 +  = 1.000000, objective value => 1.068103 
 30 )  0.341376 + 0.394344 + 0.094923 + 0.169357 +  = 1.000000, objective value => 1.147673 
 31 )  0.181559 + 0.424937 + 0.165341 + 0.228164 +  = 1.000000, objective value => 2.041575 
 32 )  0.108946 + 0.461062 + 0.354054 + 0.075937 +  = 1.000000, objective value => 2.486133 
 33 )  0.149660 + 0.233749 + 0.282524 + 0.334067 +  = 1.000000, objective value => 1.352965 
 34 )  0.292544 + 0.009106 + 0.396664 + 0.301686 +  = 1.000000, objective value => 0.999328 
 35 )  0.269794 + 0.090021 + 0.119951 + 0.520234 +  = 1.000000, objective value => 1.042464 
 36 )  0.299791 + 0.426809 + 0.027909 + 0.245491 +  = 1.000000, objective value => 1.041966 
 37 )  0.207133 + 0.507215 + 0.270828 + 0.014824 +  = 1.000000, objective value => 2.041575 
 38 )  0.503939 + 0.192525 + 0.094037 + 0.209500 +  = 1.000000, objective value => 1.042464 
 39 )  0.190105 + 0.491557 + 0.142905 + 0.175433 +  = 1.000000, objective value => 2.041575 
 40 )  0.295117 + 0.144597 + 0.380602 + 0.179685 +  = 1.000000, objective value => 1.055023 
 41 )  0.355338 + 0.359258 + 0.063825 + 0.221579 +  = 1.000000, objective value => 1.135573 
